"plantsym"|"plantsciname"|"plantcomname"|"cokey"|"cotreestomngkey"
"PITA"|"Pinus taeda"|"loblolly pine"|24232334|40620513
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232334|40620514
"PIEL"|"Pinus elliottii"|"slash pine"|24232338|40620515
"PITA"|"Pinus taeda"|"loblolly pine"|24232338|40620516
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232338|40620517
"PITA"|"Pinus taeda"|"loblolly pine"|24232339|40620518
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24231847|40620414
"PITA"|"Pinus taeda"|"loblolly pine"|24231847|40620415
"PITA"|"Pinus taeda"|"loblolly pine"|24232063|40620431
"PIEL"|"Pinus elliottii"|"slash pine"|24232282|40620501
"PITA"|"Pinus taeda"|"loblolly pine"|24232282|40620502
"QUNI"|"Quercus nigra"|"water oak"|24232353|40620520
"PITA"|"Pinus taeda"|"loblolly pine"|24232353|40620521
"PITA"|"Pinus taeda"|"loblolly pine"|24232410|40620536
"PITA"|"Pinus taeda"|"loblolly pine"|24232247|40620476
"PITA"|"Pinus taeda"|"loblolly pine"|24232250|40620477
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232250|40620478
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232371|40620531
"PITA"|"Pinus taeda"|"loblolly pine"|24232371|40620532
"PITA"|"Pinus taeda"|"loblolly pine"|24232092|40620440
"PIEL"|"Pinus elliottii"|"slash pine"|24232092|40620441
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232195|40620457
"PITA"|"Pinus taeda"|"loblolly pine"|24232195|40620458
"PITA"|"Pinus taeda"|"loblolly pine"|24232253|40620479
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232253|40620480
"PITA"|"Pinus taeda"|"loblolly pine"|24232257|40620481
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232257|40620482
"PITA"|"Pinus taeda"|"loblolly pine"|24232244|40620475
"PITA"|"Pinus taeda"|"loblolly pine"|24232414|40620537
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232260|40620483
"PLOC"|"Platanus occidentalis"|"American sycamore"|24232260|40620484
"JUNI"|"Juglans nigra"|"black walnut"|24232260|40620485
"PITA"|"Pinus taeda"|"loblolly pine"|24232260|40620486
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232226|40620460
"PITA"|"Pinus taeda"|"loblolly pine"|24232226|40620461
"JUNI"|"Juglans nigra"|"black walnut"|24232226|40620462
"PLOC"|"Platanus occidentalis"|"American sycamore"|24232226|40620463
"PIEL"|"Pinus elliottii"|"slash pine"|24232065|40620432
"PITA"|"Pinus taeda"|"loblolly pine"|24232065|40620433
"PITA"|"Pinus taeda"|"loblolly pine"|24232416|40620538
"PIEL"|"Pinus elliottii"|"slash pine"|24232416|40620539
"PIEL"|"Pinus elliottii"|"slash pine"|24231953|40620423
"PITA"|"Pinus taeda"|"loblolly pine"|24231953|40620424
"PITA"|"Pinus taeda"|"loblolly pine"|24232104|40620443
"PIEL"|"Pinus elliottii"|"slash pine"|24232104|40620444
"PITA"|"Pinus taeda"|"loblolly pine"|24232102|40620442
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232091|40620437
"PITA"|"Pinus taeda"|"loblolly pine"|24232091|40620438
"QUPA5"|"Quercus pagoda"|"cherrybark oak"|24232091|40620439
"PITA"|"Pinus taeda"|"loblolly pine"|24232300|40620504
"PIEL"|"Pinus elliottii"|"slash pine"|24232300|40620505
"PIEL"|"Pinus elliottii"|"slash pine"|24232108|40620445
"PITA"|"Pinus taeda"|"loblolly pine"|24232108|40620446
"PIEL"|"Pinus elliottii"|"slash pine"|24231955|40620425
"PITA"|"Pinus taeda"|"loblolly pine"|24231955|40620426
"PITA"|"Pinus taeda"|"loblolly pine"|24232418|40620540
"PIEL"|"Pinus elliottii"|"slash pine"|24232418|40620541
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232228|40620464
"PODE3"|"Populus deltoides"|"eastern cottonwood"|24232228|40620465
"LITU"|"Liriodendron tulipifera"|"tuliptree"|24232228|40620466
"QUPA5"|"Quercus pagoda"|"cherrybark oak"|24232228|40620467
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|24232228|40620468
"PITA"|"Pinus taeda"|"loblolly pine"|24232228|40620469
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|24231792|40620409
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24231792|40620410
"LITU"|"Liriodendron tulipifera"|"tuliptree"|24231792|40620411
"PLOC"|"Platanus occidentalis"|"American sycamore"|24231792|40620412
"PODE3"|"Populus deltoides"|"eastern cottonwood"|24231792|40620413
"QUNI"|"Quercus nigra"|"water oak"|24232422|40620542
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232422|40620543
"PITA"|"Pinus taeda"|"loblolly pine"|24232422|40620544
"PIEL"|"Pinus elliottii"|"slash pine"|24232356|40620524
"PITA"|"Pinus taeda"|"loblolly pine"|24232356|40620525
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24231937|40620417
"PITA"|"Pinus taeda"|"loblolly pine"|24231937|40620418
"QUNI"|"Quercus nigra"|"water oak"|24231937|40620419
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24231938|40620420
"PIEL"|"Pinus elliottii"|"slash pine"|24231938|40620421
"PITA"|"Pinus taeda"|"loblolly pine"|24231938|40620422
"PITA"|"Pinus taeda"|"loblolly pine"|24232273|40620493
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232273|40620494
"QUFA"|"Quercus falcata"|"southern red oak"|24232273|40620495
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232273|40620496
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232279|40620499
"PITA"|"Pinus taeda"|"loblolly pine"|24232279|40620500
"PITA"|"Pinus taeda"|"loblolly pine"|24232241|40620473
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232241|40620474
"PITA"|"Pinus taeda"|"loblolly pine"|24232429|40620547
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232429|40620548
"PITA"|"Pinus taeda"|"loblolly pine"|24232276|40620497
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232276|40620498
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232264|40620487
"QUFA"|"Quercus falcata"|"southern red oak"|24232264|40620488
"PITA"|"Pinus taeda"|"loblolly pine"|24232264|40620489
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232264|40620490
"QUNI"|"Quercus nigra"|"water oak"|24232268|40620491
"QUNI"|"Quercus nigra"|"water oak"|24232270|40620492
"QUPH"|"Quercus phellos"|"willow oak"|24232354|40620522
"QUNI"|"Quercus nigra"|"water oak"|24232354|40620523
"PITA"|"Pinus taeda"|"loblolly pine"|24231963|40620427
"PITA"|"Pinus taeda"|"loblolly pine"|24232232|40620470
"PITA"|"Pinus taeda"|"loblolly pine"|24232424|40620545
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232445|40620552
"PITA"|"Pinus taeda"|"loblolly pine"|24232445|40620553
"PITA"|"Pinus taeda"|"loblolly pine"|24232374|40620533
"PITA"|"Pinus taeda"|"loblolly pine"|24232235|40620471
"PITA"|"Pinus taeda"|"loblolly pine"|24232200|40620459
"PITA"|"Pinus taeda"|"loblolly pine"|24232348|40620519
"PITA"|"Pinus taeda"|"loblolly pine"|24232110|40620447
"PITA"|"Pinus taeda"|"loblolly pine"|24232427|40620546
"PITA"|"Pinus taeda"|"loblolly pine"|24231988|40620428
"PITA"|"Pinus taeda"|"loblolly pine"|24231989|40620429
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24231989|40620430
"PITA"|"Pinus taeda"|"loblolly pine"|24232112|40620448
"PITA"|"Pinus taeda"|"loblolly pine"|24232434|40620549
"QUFA"|"Quercus falcata"|"southern red oak"|24232434|40620550
"QUNI"|"Quercus nigra"|"water oak"|24232434|40620551
"PIEL"|"Pinus elliottii"|"slash pine"|24232116|40620449
"PITA"|"Pinus taeda"|"loblolly pine"|24232116|40620450
"PITA"|"Pinus taeda"|"loblolly pine"|24231858|40620416
"PITA"|"Pinus taeda"|"loblolly pine"|24232119|40620451
"PITA"|"Pinus taeda"|"loblolly pine"|24232286|40620503
"PITA"|"Pinus taeda"|"loblolly pine"|24232238|40620472
"PIEL"|"Pinus elliottii"|"slash pine"|24232359|40620526
"PITA"|"Pinus taeda"|"loblolly pine"|24232359|40620527
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232359|40620528
"PITA"|"Pinus taeda"|"loblolly pine"|24232360|40620529
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24232360|40620530
"PITA"|"Pinus taeda"|"loblolly pine"|24232124|40620452
"QUPA5"|"Quercus pagoda"|"cherrybark oak"|24232124|40620453
"QUSH"|"Quercus shumardii"|"Shumard's oak"|24232124|40620454
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24232124|40620455
"PITA"|"Pinus taeda"|"loblolly pine"|24232125|40620456
"PITA"|"Pinus taeda"|"loblolly pine"|24232385|40620534
"PITA"|"Pinus taeda"|"loblolly pine"|24232386|40620535
"PITA"|"Pinus taeda"|"loblolly pine"|24232319|40620506
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|24232320|40620507
"PIEL"|"Pinus elliottii"|"slash pine"|24232320|40620508
"PITA"|"Pinus taeda"|"loblolly pine"|24232320|40620509
"QUNI"|"Quercus nigra"|"water oak"|24232320|40620510
"PITA"|"Pinus taeda"|"loblolly pine"|24232321|40620511
"PITA"|"Pinus taeda"|"loblolly pine"|24232322|40620512
"LITU"|"Liriodendron tulipifera"|"tuliptree"|24232088|40620434
"PITA"|"Pinus taeda"|"loblolly pine"|24232088|40620435
"PODE3"|"Populus deltoides"|"eastern cottonwood"|24232088|40620436
"PITA"|"Pinus taeda"|"loblolly pine"|24243229|40630044
"PITA"|"Pinus taeda"|"loblolly pine"|24243230|40630045
"LITU"|"Liriodendron tulipifera"|"tuliptree"|24242757|40629801
"PITA"|"Pinus taeda"|"loblolly pine"|24242757|40629802
"PODE3"|"Populus deltoides"|"eastern cottonwood"|24242757|40629803
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24243146|40629976
"PITA"|"Pinus taeda"|"loblolly pine"|24243146|40629977
"PITA"|"Pinus taeda"|"loblolly pine"|24243145|40629974
"PIEL"|"Pinus elliottii"|"slash pine"|24243145|40629975
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|24243184|40630008
"PITA"|"Pinus taeda"|"loblolly pine"|24243184|40630009
"PIEL"|"Pinus elliottii"|"slash pine"|24243184|40630010
"QUNI"|"Quercus nigra"|"water oak"|24243184|40630011
"PITA"|"Pinus taeda"|"loblolly pine"|24243183|40630007
"PITA"|"Pinus taeda"|"loblolly pine"|24243182|40630006
"PITA"|"Pinus taeda"|"loblolly pine"|24243165|40629996
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|24243164|40629992
"PITA"|"Pinus taeda"|"loblolly pine"|24243164|40629993
"PIEL"|"Pinus elliottii"|"slash pine"|24243164|40629994
"QUNI"|"Quercus nigra"|"water oak"|24243164|40629995
"PITA"|"Pinus taeda"|"loblolly pine"|24243163|40629991
"PITA"|"Pinus taeda"|"loblolly pine"|24243162|40629990
"PITA"|"Pinus taeda"|"loblolly pine"|24243189|40630019
"PIEL"|"Pinus elliottii"|"slash pine"|24243189|40630020
"PIEL"|"Pinus elliottii"|"slash pine"|24243188|40630015
"PITA"|"Pinus taeda"|"loblolly pine"|24243188|40630016
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|24243188|40630017
"QUNI"|"Quercus nigra"|"water oak"|24243188|40630018
"PITA"|"Pinus taeda"|"loblolly pine"|24243187|40630014
"PITA"|"Pinus taeda"|"loblolly pine"|24242901|40629877
"QUSH"|"Quercus shumardii"|"Shumard's oak"|24242900|40629873
"PITA"|"Pinus taeda"|"loblolly pine"|24242900|40629874
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24242900|40629875
"QUPA5"|"Quercus pagoda"|"cherrybark oak"|24242900|40629876
"PITA"|"Pinus taeda"|"loblolly pine"|24242899|40629872
"PITA"|"Pinus taeda"|"loblolly pine"|24242898|40629871
"PITA"|"Pinus taeda"|"loblolly pine"|24242788|40629821
"PITA"|"Pinus taeda"|"loblolly pine"|24242787|40629817
"QUSH"|"Quercus shumardii"|"Shumard's oak"|24242787|40629818
"QUPA5"|"Quercus pagoda"|"cherrybark oak"|24242787|40629819
"PIEC2"|"Pinus echinata"|"shortleaf pine"|24242787|40629820
"PITA"|"Pinus taeda"|"loblolly pine"|24243186|40630013
"PITA"|"Pinus taeda"|"loblolly pine"|24243185|40630012
"QUAL"|"Quercus alba"|"white oak"|24242891|40629867
"PITA"|"Pinus taeda"|"loblolly pine"|24242891|40629868
"QUFA"|"Quercus falcata"|"southern red oak"|24242891|40629869
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|24242890|40629865
"PITA"|"Pinus taeda"|"loblolly pine"|24242890|40629866
"PITA"|"Pinus taeda"|"loblolly pine"|24242889|40629864
"PITA"|"Pinus taeda"|"loblolly pine"|24242922|40629881
"PITA"|"Pinus taeda"|"loblolly pine"|24242921|40629880
"PITA"|"Pinus taeda"|"loblolly pine"|24243072|40629923
"PITA"|"Pinus taeda"|"loblolly pine"|24243071|40629922
"PIEL"|"Pinus elliottii"|"slash pine"|24243105|40629940
"PITA"|"Pinus taeda"|"loblolly pine"|24243105|40629941
"PITA"|"Pinus taeda"|"loblolly pine"|24243067|40629921
"PITA"|"Pinus taeda"|"loblolly pine"|24242805|40629836
"PITA"|"Pinus taeda"|"loblolly pine"|24243104|40629939
"PITA"|"Pinus taeda"|"loblolly pine"|24242795|40629834
"PITA"|"Pinus taeda"|"loblolly pine"|24242794|40629833
"PITA"|"Pinus taeda"|"loblolly pine"|24242793|40629831
"PIEL"|"Pinus elliottii"|"slash pine"|24242793|40629832
"PITA"|"Pinus taeda"|"loblolly pine"|24242792|40629827
