"fragvol_l"|"fragvol_r"|"fragvol_h"|"fragkind"|"fragsize_l"|"fragsize_r"|"fragsize_h"|"fragshp"|"fraground"|"fraghard"|"chkey"|"chfragskey"
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72024768|124134284
0|0|11|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72024769|124134285
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72024766|124134279
0|1|1|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72024766|124134280
0|1|1|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72024767|124134281
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72024767|124134282
0|0|6|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72024770|124134286
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025148|124134967
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025146|124134964
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72025146|124134965
0|1|1|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025145|124134962
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72025145|124134963
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025147|124134966
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025151|124134972
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025151|124134973
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025155|124134980
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025155|124134981
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025153|124134976
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025153|124134977
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025152|124134974
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025152|124134975
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025150|124134970
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025150|124134971
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025149|124134968
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025149|124134969
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025154|124134978
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025154|124134979
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025052|124134806
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72025052|124134807
0|1|1|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025050|124134802
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72025050|124134803
0|1|1|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025053|124134808
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025051|124134804
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72025051|124134805
0|1|1|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025049|124134800
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72025049|124134801
0|1|1|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025054|124134809
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025059|124134810
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72025059|124134811
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025062|124134816
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72025062|124134817
0|1|1|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025060|124134812
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72025060|124134813
0|1|1|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025061|124134814
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72025061|124134815
0|0|6|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025064|124134819
0|0|11|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72025063|124134818
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025070|124134830
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025070|124134831
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025065|124134820
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025065|124134821
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025066|124134822
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025066|124134823
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025068|124134826
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025068|124134827
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025069|124134828
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025069|124134829
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025067|124134824
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025067|124134825
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025071|124134832
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72025071|124134833
0|3|6|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72024720|124134206
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72024720|124134207
0|5|9|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72024721|124134208
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72024721|124134209
0|5|9|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72024722|124134210
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72024722|124134211
0|2|3|""|2|4|5|""|""|""|72051538|124167805
0|2|3|""|2|4|5|""|""|""|72051537|124167804
0|1|1|""|5|40|75|""|""|""|72051539|124167806
0|1|1|""|2|4|5|""|""|""|72051539|124167807
0|2|3|""|2|4|5|""|""|""|72051540|124167808
0|1|1|""|5|40|75|""|""|""|72052015|124168533
0|1|1|""|2|4|5|""|""|""|72052015|124168534
0|2|3|""|2|4|5|""|""|""|72052016|124168535
0|2|3|""|2|4|5|""|""|""|72052013|124168531
0|2|3|""|2|4|5|""|""|""|72052014|124168532
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72051556|124167844
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72051555|124167843
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72051557|124167845
0|1|2|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72051892|124168334
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72051892|124168335
0|3|6|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72051893|124168336
0|4|7|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72051893|124168337
0|1|2|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72051894|124168338
5|7|10|"Plinthite nodules"|2|4|5|"Nonflat"|"Subrounded"|"Moderately coherent"|72051894|124168339
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72051894|124168340
0|1|2|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72051895|124168341
5|7|9|"Plinthite nodules"|2|4|5|"Nonflat"|"Subangular"|"Moderately coherent"|72051895|124168342
0|1|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72051895|124168343
0|1|2|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72051891|124168332
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72051891|124168333
0|2|3|"Ironstone nodules"|5|40|75|""|"Subangular"|"Strongly coherent"|72051896|124168344
0|3|7|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72051896|124168345
0|5|6|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72051884|124168318
0|7|7|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72051884|124168319
0|1|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Subangular"|"Very strongly coherent"|72051884|124168320
0|6|7|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72051886|124168324
0|5|5|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72051886|124168325
0|1|2|"Ironstone nodules"|75|162|250|"Nonflat"|"Subangular"|"Very strongly coherent"|72051886|124168326
0|7|7|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72051883|124168315
0|5|6|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72051883|124168316
0|1|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Subangular"|"Very strongly coherent"|72051883|124168317
0|7|7|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Very strongly coherent"|72051885|124168321
0|5|6|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Very strongly coherent"|72051885|124168322
0|1|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Subangular"|"Very strongly coherent"|72051885|124168323
0|1|2|"Ironstone nodules"|75|162|250|"Nonflat"|"Subrounded"|"Strongly coherent"|72051719|124168092
0|6|11|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Strongly coherent"|72051719|124168093
0|5|9|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Strongly coherent"|72051719|124168094
0|5|9|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Strongly coherent"|72051717|124168086
0|7|13|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Strongly coherent"|72051717|124168087
0|1|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Subrounded"|"Strongly coherent"|72051717|124168088
0|7|14|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Strongly coherent"|72051718|124168089
0|5|9|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Strongly coherent"|72051718|124168090
0|1|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Subrounded"|"Strongly coherent"|72051718|124168091
0|5|9|""|5|40|75|""|""|""|72051675|124168025
0|6|11|""|2|4|5|""|""|""|72051675|124168026
0|2|3|""|75|162|250|""|""|""|72051675|124168027
0|2|3|""|75|162|250|""|""|""|72051674|124168022
0|5|9|""|5|40|75|""|""|""|72051674|124168023
0|7|14|""|2|4|5|""|""|""|72051674|124168024
0|2|3|""|75|162|250|""|""|""|72051676|124168028
0|1|1|""|250|625|1000|""|""|""|72051676|124168029
0|5|9|""|2|4|5|""|""|""|72051676|124168030
0|3|6|""|5|40|75|""|""|""|72051676|124168031
0|1|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Angular"|"Indurated"|72051490|124167740
0|6|8|"Ironstone nodules"|2|4|5|"Nonflat"|"Angular"|"Indurated"|72051490|124167741
0|5|5|"Ironstone nodules"|5|40|75|"Nonflat"|"Angular"|"Indurated"|72051490|124167742
10|13|21|"Ironstone nodules"|5|40|75|"Nonflat"|"Angular"|"Indurated"|72051487|124167729
0|2|2|"Ironstone nodules"|75|162|250|"Nonflat"|"Angular"|"Indurated"|72051487|124167730
0|1|1|"Ironstone nodules"|250|500|600|"Nonflat"|"Angular"|"Indurated"|72051487|124167731
5|9|10|"Ironstone nodules"|2|4|5|"Nonflat"|"Angular"|"Indurated"|72051487|124167732
10|13|21|"Ironstone nodules"|5|40|75|"Nonflat"|"Angular"|"Indurated"|72051488|124167733
0|2|2|"Ironstone nodules"|75|162|250|"Nonflat"|"Angular"|"Indurated"|72051488|124167734
0|1|1|"Ironstone nodules"|250|500|600|"Nonflat"|"Angular"|"Indurated"|72051488|124167735
5|9|10|"Ironstone nodules"|2|4|5|"Nonflat"|"Angular"|"Indurated"|72051488|124167736
0|7|8|"Ironstone nodules"|2|4|5|"Nonflat"|"Angular"|"Indurated"|72051489|124167737
0|1|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Angular"|"Indurated"|72051489|124167738
0|5|5|"Ironstone nodules"|5|40|75|"Nonflat"|"Angular"|"Indurated"|72051489|124167739
0|3|6|"Ironstone nodules"|2|4|5|"Nonflat"|"Angular"|"Indurated"|72051492|124167746
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Angular"|"Indurated"|72051492|124167747
0|1|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Angular"|"Indurated"|72051492|124167748
0|3|6|"Ironstone nodules"|2|4|5|"Nonflat"|"Angular"|"Indurated"|72051491|124167743
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Angular"|"Indurated"|72051491|124167744
0|1|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Angular"|"Indurated"|72051491|124167745
0|0|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72052067|124168635
0|0|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Subangular"|"Strongly coherent"|72052067|124168636
0|0|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72052067|124168637
0|0|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72052069|124168640
0|0|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Subangular"|"Strongly coherent"|72052069|124168641
0|0|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72052069|124168642
0|0|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72052068|124168638
0|0|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72052068|124168639
0|0|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72052151|124168803
0|0|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72052151|124168804
0|0|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Subangular"|"Strongly coherent"|72052151|124168805
0|0|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72052150|124168800
0|0|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72052150|124168801
0|0|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Subangular"|"Strongly coherent"|72052150|124168802
0|0|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subangular"|"Strongly coherent"|72052149|124168798
0|0|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Subangular"|"Strongly coherent"|72052149|124168799
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72051978|124168491
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72051976|124168489
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72051977|124168490
0|1|2|""|2|4|5|""|""|""|72051681|124168032
0|1|2|""|2|4|5|""|""|""|72051682|124168033
0|2|3|""|2|4|5|""|""|""|72051683|124168034
0|2|3|""|5|40|75|""|""|""|72051683|124168035
0|2|3|""|2|4|5|""|""|""|72051685|124168038
0|2|3|""|5|40|75|""|""|""|72051685|124168039
0|2|3|""|5|40|75|""|""|""|72051684|124168036
0|2|3|""|2|4|5|""|""|""|72051684|124168037
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Strongly coherent"|72052100|124168708
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Strongly coherent"|72052100|124168709
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Strongly coherent"|72052101|124168710
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Strongly coherent"|72052101|124168711
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Strongly coherent"|72052102|124168712
0|1|2|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Strongly coherent"|72052102|124168713
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72051855|124168276
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72051855|124168277
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72051853|124168272
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72051853|124168273
0|1|1|"Ironstone nodules"|5|40|75|"Nonflat"|"Subrounded"|"Very strongly coherent"|72051854|124168274
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Subrounded"|"Very strongly coherent"|72051854|124168275
0|2|3|""|5|40|75|""|""|""|72052017|124168536
0|2|3|""|2|4|5|""|""|""|72052017|124168537
0|2|3|""|5|40|75|""|""|""|72052019|124168540
0|2|3|""|2|4|5|""|""|""|72052019|124168541
0|2|3|""|2|4|5|""|""|""|72052018|124168538
0|2|3|""|5|40|75|""|""|""|72052018|124168539
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Rounded"|"Very strongly coherent"|72051970|124168477
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Rounded"|"Very strongly coherent"|72051970|124168478
0|3|6|"Ironstone nodules"|2|4|5|"Nonflat"|"Rounded"|"Very strongly coherent"|72051974|124168486
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Angular"|"Very strongly coherent"|72051974|124168487
0|1|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Angular"|"Very strongly coherent"|72051974|124168488
0|2|3|"Ironstone nodules"|2|4|5|"Nonflat"|"Rounded"|"Very strongly coherent"|72051972|124168481
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Rounded"|"Very strongly coherent"|72051972|124168482
0|5|7|"Ironstone nodules"|2|4|5|"Flat"|"Angular"|"Very strongly coherent"|72051971|124168479
0|5|7|"Ironstone nodules"|5|40|75|"Flat"|"Angular"|"Very strongly coherent"|72051971|124168480
0|3|6|"Ironstone nodules"|2|4|5|"Nonflat"|"Rounded"|"Very strongly coherent"|72051973|124168483
0|2|3|"Ironstone nodules"|5|40|75|"Nonflat"|"Angular"|"Very strongly coherent"|72051973|124168484
0|1|1|"Ironstone nodules"|75|162|250|"Nonflat"|"Angular"|"Very strongly coherent"|72051973|124168485
0|3|6|""|2|4|5|""|""|""|72051547|124167818
0|1|1|""|75|162|250|""|""|""|72051547|124167819
0|2|3|""|5|40|75|""|""|""|72051547|124167820
0|3|6|""|2|4|5|""|""|""|72051545|124167812
0|2|3|""|5|40|75|""|""|""|72051545|124167813
0|1|1|""|75|162|250|""|""|""|72051545|124167814
0|2|3|""|5|40|75|""|""|""|72051546|124167815
0|3|6|""|2|4|5|""|""|""|72051546|124167816
0|1|1|""|75|162|250|""|""|""|72051546|124167817
0|2|3|""|5|40|75|""|""|""|72051544|124167809
0|2|3|""|2|4|5|""|""|""|72051544|124167810
