"texture"|"stratextsflag"|"rvindicator"|"texdesc"|"chkey"|"chtgkey"
"SIC"|"No "|"No "|"Silty clay"|72025064|145640644
"C"|"No "|"Yes"|"Clay"|72025064|145640645
"C"|"No "|"No "|"Clay"|72025063|145640641
"SCL"|"No "|"No "|"Sandy clay loam"|72025063|145640642
"CL"|"No "|"Yes"|"Clay loam"|72025063|145640643
"C"|"No "|"No "|"Clay"|72025070|145640657
"SR- CL VFSL"|"Yes"|"Yes"|"Stratified clay loam to very fine sandy loam"|72025070|145640658
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025065|145640646
"VFSL"|"No "|"No "|"Very fine sandy loam"|72025066|145640647
"FSL"|"No "|"Yes"|"Fine sandy loam"|72025066|145640648
"CL"|"No "|"Yes"|"Clay loam"|72025068|145640652
"SCL"|"No "|"No "|"Sandy clay loam"|72025068|145640653
"L"|"No "|"No "|"Loam"|72025068|145640654
"SIC"|"No "|"No "|"Silty clay"|72025069|145640655
"C"|"No "|"Yes"|"Clay"|72025069|145640656
"L"|"No "|"No "|"Loam"|72025067|145640649
"CL"|"No "|"Yes"|"Clay loam"|72025067|145640650
"SCL"|"No "|"No "|"Sandy clay loam"|72025067|145640651
"CL"|"No "|"Yes"|"Clay loam"|72025071|145640659
"C"|"No "|"No "|"Clay"|72025071|145640660
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024720|145639935
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024721|145639936
"L"|"No "|"No "|"Loam"|72024721|145639937
"SL"|"No "|"No "|"Sandy loam"|72024721|145639938
"FSL"|"No "|"Yes"|"Fine sandy loam"|72024722|145639939
"L"|"No "|"No "|"Loam"|72024722|145639940
"SL"|"No "|"No "|"Sandy loam"|72024722|145639941
"CL"|"No "|"Yes"|"Clay loam"|72052003|145700392
"L"|"No "|"No "|"Loam"|72052003|145700393
"SICL"|"No "|"No "|"Silty clay loam"|72052003|145700394
"L"|"No "|"Yes"|"Loam"|72052005|145700398
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051558|145699465
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051560|145699468
"FSL"|"No "|"No "|"Fine sandy loam"|72051560|145699469
"CL"|"No "|"No "|"Clay loam"|72051560|145699470
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051559|145699466
"FSL"|"No "|"No "|"Fine sandy loam"|72051559|145699467
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051561|145699471
"FSL"|"No "|"No "|"Fine sandy loam"|72051822|145699994
"L"|"No "|"Yes"|"Loam"|72051822|145699995
"L"|"No "|"Yes"|"Loam"|72051823|145699996
"L"|"No "|"No "|"Loam"|72051824|145699997
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051824|145699998
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051824|145699999
"L"|"No "|"Yes"|"Loam"|72051825|145700000
"S"|"No "|"Yes"|"Sand"|72051840|145700034
"LFS"|"No "|"No "|"Loamy fine sand"|72051841|145700035
"S"|"No "|"Yes"|"Sand"|72051841|145700036
"MK-FSL"|"No "|"No "|"Mucky fine sandy loam"|72051841|145700037
"MK-SL"|"No "|"Yes"|"Mucky sandy loam"|72051842|145700038
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051530|145699408
"L"|"No "|"No "|"Loam"|72051530|145699409
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051531|145699410
"L"|"No "|"No "|"Loam"|72051531|145699411
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051532|145699412
"CL"|"No "|"Yes"|"Clay loam"|72051843|145700039
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051844|145700040
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72051845|145700041
"CL"|"No "|"Yes"|"Clay loam"|72052043|145700480
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052045|145700482
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052044|145700481
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051435|145699199
"FSL"|"No "|"No "|"Fine sandy loam"|72051436|145699200
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051436|145699201
"CL"|"No "|"No "|"Clay loam"|72051436|145699202
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051437|145699203
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051434|145699198
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051439|145699205
"CL"|"No "|"Yes"|"Clay loam"|72051440|145699206
"C"|"No "|"No "|"Clay"|72051440|145699207
"GR-FSL"|"No "|"Yes"|"Gravelly fine sandy loam"|72051438|145699204
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052047|145700484
"CL"|"No "|"No "|"Clay loam"|72052049|145700488
"C"|"No "|"Yes"|"Clay"|72052049|145700489
"SCL"|"No "|"No "|"Sandy clay loam"|72052048|145700485
"C"|"No "|"Yes"|"Clay"|72052048|145700486
"CL"|"No "|"No "|"Clay loam"|72052048|145700487
"GR-FSL"|"No "|"Yes"|"Gravelly fine sandy loam"|72052046|145700483
"C"|"No "|"Yes"|"Clay"|72051554|145699456
"CL"|"No "|"No "|"Clay loam"|72051554|145699457
"C"|"No "|"Yes"|"Clay"|72051553|145699453
"SCL"|"No "|"No "|"Sandy clay loam"|72051553|145699454
"CL"|"No "|"No "|"Clay loam"|72051553|145699455
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051552|145699452
"GR-FSL"|"No "|"Yes"|"Gravelly fine sandy loam"|72051551|145699451
"CL"|"No "|"Yes"|"Clay loam"|72052091|145700570
"CL"|"No "|"No "|"Clay loam"|72052090|145700568
"C"|"No "|"Yes"|"Clay"|72052090|145700569
"CL"|"No "|"No "|"Clay loam"|72052089|145700565
"C"|"No "|"Yes"|"Clay"|72052089|145700566
"SCL"|"No "|"No "|"Sandy clay loam"|72052089|145700567
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052088|145700564
"C"|"No "|"Yes"|"Clay"|72051526|145699400
"SIC"|"No "|"No "|"Silty clay"|72051526|145699401
"CL"|"No "|"No "|"Clay loam"|72051526|145699402
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051528|145699404
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051527|145699403
"C"|"No "|"Yes"|"Clay"|72051524|145699394
"SIC"|"No "|"No "|"Silty clay"|72051524|145699395
"CL"|"No "|"No "|"Clay loam"|72051524|145699396
"C"|"No "|"Yes"|"Clay"|72051525|145699397
"SIC"|"No "|"No "|"Silty clay"|72051525|145699398
"CL"|"No "|"No "|"Clay loam"|72051525|145699399
"SICL"|"No "|"No "|"Silty clay loam"|72051529|145699405
"CL"|"No "|"Yes"|"Clay loam"|72051529|145699406
"L"|"No "|"No "|"Loam"|72051529|145699407
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051707|145699773
"FSL"|"No "|"No "|"Fine sandy loam"|72051707|145699774
"L"|"No "|"Yes"|"Loam"|72051707|145699775
"C"|"No "|"Yes"|"Clay"|72051709|145699777
"CL"|"No "|"No "|"Clay loam"|72051709|145699778
"SCL"|"No "|"No "|"Sandy clay loam"|72051710|145699779
"L"|"No "|"No "|"Loam"|72051710|145699780
"CL"|"No "|"Yes"|"Clay loam"|72051710|145699781
"L"|"No "|"Yes"|"Loam"|72051712|145699785
"SCL"|"No "|"No "|"Sandy clay loam"|72051711|145699782
"CL"|"No "|"No "|"Clay loam"|72051711|145699783
"L"|"No "|"Yes"|"Loam"|72051711|145699784
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051714|145699787
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051715|145699788
"FSL"|"No "|"No "|"Fine sandy loam"|72051716|145699789
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051716|145699790
"CL"|"No "|"No "|"Clay loam"|72051716|145699791
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051713|145699786
"FS"|"No "|"Yes"|"Fine sand"|72051466|145699262
"FS"|"No "|"Yes"|"Fine sand"|72051467|145699263
"FS"|"No "|"Yes"|"Fine sand"|72052092|145700571
"S"|"No "|"No "|"Sand"|72052092|145700572
"FS"|"No "|"Yes"|"Fine sand"|72052093|145700573
"LFS"|"No "|"Yes"|"Loamy fine sand"|72052095|145700575
"LFS"|"No "|"Yes"|"Loamy fine sand"|72052094|145700574
"CL"|"No "|"No "|"Clay loam"|72052096|145700576
"FSL"|"No "|"No "|"Fine sandy loam"|72052096|145700577
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052096|145700578
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052097|145700579
"CL"|"No "|"No "|"Clay loam"|72052097|145700580
"FSL"|"No "|"No "|"Fine sandy loam"|72052097|145700581
"FS"|"No "|"Yes"|"Fine sand"|72051720|145699798
"S"|"No "|"No "|"Sand"|72051720|145699799
"FS"|"No "|"Yes"|"Fine sand"|72051721|145699800
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051723|145699802
"CL"|"No "|"No "|"Clay loam"|72051724|145699803
"FSL"|"No "|"No "|"Fine sandy loam"|72051724|145699804
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051724|145699805
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051722|145699801
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051725|145699806
"CL"|"No "|"No "|"Clay loam"|72051725|145699807
"FSL"|"No "|"No "|"Fine sandy loam"|72051725|145699808
"SCL"|"No "|"No "|"Sandy clay loam"|72052053|145700497
"CL"|"No "|"Yes"|"Clay loam"|72052053|145700498
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052054|145700499
"L"|"No "|"No "|"Loam"|72052054|145700500
"SCL"|"No "|"No "|"Sandy clay loam"|72052054|145700501
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052052|145700494
"CL"|"No "|"No "|"Clay loam"|72052052|145700495
"FSL"|"No "|"No "|"Fine sandy loam"|72052052|145700496
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052055|145700502
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052099|145700584
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052098|145700582
"L"|"No "|"No "|"Loam"|72052098|145700583
"CL"|"No "|"Yes"|"Clay loam"|72052056|145700503
"L"|"No "|"Yes"|"Loam"|72052059|145700509
"C"|"No "|"Yes"|"Clay"|72052058|145700507
"SIC"|"No "|"No "|"Silty clay"|72052058|145700508
"C"|"No "|"Yes"|"Clay"|72051705|145699768
"CL"|"No "|"No "|"Clay loam"|72051705|145699769
"L"|"No "|"Yes"|"Loam"|72051708|145699776
"SCL"|"No "|"No "|"Sandy clay loam"|72051706|145699770
"CL"|"No "|"Yes"|"Clay loam"|72051706|145699771
"L"|"No "|"No "|"Loam"|72051706|145699772
"SIL"|"No "|"Yes"|"Silt loam"|72051701|145699758
"SIL"|"No "|"Yes"|"Silt loam"|72051700|145699757
"C"|"No "|"Yes"|"Clay"|72051704|145699765
"CL"|"No "|"No "|"Clay loam"|72051704|145699766
"SIC"|"No "|"No "|"Silty clay"|72051704|145699767
"SIL"|"No "|"No "|"Silt loam"|72051703|145699762
"CL"|"No "|"No "|"Clay loam"|72051703|145699763
"SICL"|"No "|"Yes"|"Silty clay loam"|72051703|145699764
"SIL"|"No "|"No "|"Silt loam"|72051702|145699759
"SICL"|"No "|"No "|"Silty clay loam"|72051702|145699760
"CL"|"No "|"Yes"|"Clay loam"|72051702|145699761
"SIL"|"No "|"No "|"Silt loam"|72051697|145699748
"SICL"|"No "|"No "|"Silty clay loam"|72051697|145699749
"CL"|"No "|"Yes"|"Clay loam"|72051697|145699750
"SIL"|"No "|"No "|"Silt loam"|72051698|145699751
"CL"|"No "|"No "|"Clay loam"|72051698|145699752
"SICL"|"No "|"Yes"|"Silty clay loam"|72051698|145699753
"SIL"|"No "|"Yes"|"Silt loam"|72051695|145699746
"C"|"No "|"Yes"|"Clay"|72051699|145699754
"CL"|"No "|"No "|"Clay loam"|72051699|145699755
"SIC"|"No "|"No "|"Silty clay"|72051699|145699756
"SIL"|"No "|"Yes"|"Silt loam"|72051696|145699747
"CL"|"No "|"No "|"Clay loam"|72051693|145699742
"L"|"No "|"Yes"|"Loam"|72051693|145699743
"SCL"|"No "|"No "|"Sandy clay loam"|72051693|145699744
"CL"|"No "|"No "|"Clay loam"|72051691|145699737
"C"|"No "|"Yes"|"Clay"|72051691|145699738
"L"|"No "|"Yes"|"Loam"|72051694|145699745
"CL"|"No "|"Yes"|"Clay loam"|72051692|145699739
"SCL"|"No "|"No "|"Sandy clay loam"|72051692|145699740
"L"|"No "|"No "|"Loam"|72051692|145699741
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051773|145699903
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051774|145699904
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051772|145699901
"FSL"|"No "|"No "|"Fine sandy loam"|72051772|145699902
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051771|145699899
"FSL"|"No "|"No "|"Fine sandy loam"|72051771|145699900
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051770|145699898
"CL"|"No "|"Yes"|"Clay loam"|72051766|145699889
"SCL"|"No "|"No "|"Sandy clay loam"|72051766|145699890
"L"|"No "|"No "|"Loam"|72051766|145699891
"L"|"No "|"Yes"|"Loam"|72051765|145699888
"L"|"No "|"Yes"|"Loam"|72051767|145699892
"CL"|"No "|"No "|"Clay loam"|72051767|145699893
"SCL"|"No "|"No "|"Sandy clay loam"|72051767|145699894
"L"|"No "|"Yes"|"Loam"|72051769|145699897
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051768|145699895
"LFS"|"No "|"No "|"Loamy fine sand"|72051768|145699896
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051763|145699883
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051763|145699884
"L"|"No "|"No "|"Loam"|72051763|145699885
"L"|"No "|"Yes"|"Loam"|72051764|145699886
"SCL"|"No "|"No "|"Sandy clay loam"|72051764|145699887
"L"|"No "|"Yes"|"Loam"|72051762|145699881
"FSL"|"No "|"No "|"Fine sandy loam"|72051762|145699882
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051761|145699880
"C"|"No "|"No "|"Clay"|72051641|145699624
"SC"|"No "|"No "|"Sandy clay"|72051641|145699625
"CL"|"No "|"No "|"Clay loam"|72051641|145699626
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051641|145699627
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051640|145699623
"SCL"|"No "|"No "|"Sandy clay loam"|72051639|145699620
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051639|145699621
"SL"|"No "|"No "|"Sandy loam"|72051639|145699622
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051636|145699615
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051638|145699618
"FSL"|"No "|"No "|"Fine sandy loam"|72051638|145699619
"LFS"|"No "|"No "|"Loamy fine sand"|72051637|145699616
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051637|145699617
"CL"|"No "|"Yes"|"Clay loam"|72051630|145699601
"CL"|"No "|"Yes"|"Clay loam"|72051629|145699599
"C"|"No "|"No "|"Clay"|72051629|145699600
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051631|145699602
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051631|145699603
"L"|"No "|"No "|"Loam"|72051631|145699604
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051628|145699596
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051628|145699597
"L"|"No "|"No "|"Loam"|72051628|145699598
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051627|145699593
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051627|145699594
"L"|"No "|"No "|"Loam"|72051627|145699595
"SICL"|"No "|"Yes"|"Silty clay loam"|72052285|145700956
"SIL"|"No "|"No "|"Silt loam"|72052285|145700957
"SIC"|"No "|"Yes"|"Silty clay"|72052288|145700963
"C"|"No "|"No "|"Clay"|72052288|145700964
"SIL"|"No "|"Yes"|"Silt loam"|72052284|145700955
"CL"|"No "|"No "|"Clay loam"|72052286|145700958
"L"|"No "|"Yes"|"Loam"|72052286|145700959
"L"|"No "|"No "|"Loam"|72052287|145700960
"CL"|"No "|"No "|"Clay loam"|72052287|145700961
"SICL"|"No "|"Yes"|"Silty clay loam"|72052287|145700962
"CL"|"No "|"No "|"Clay loam"|72052283|145700952
"FSL"|"No "|"No "|"Fine sandy loam"|72052283|145700953
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052283|145700954
"LFS"|"No "|"Yes"|"Loamy fine sand"|72052281|145700948
"LFS"|"No "|"Yes"|"Loamy fine sand"|72052280|145700947
"CL"|"No "|"No "|"Clay loam"|72052282|145700949
"FSL"|"No "|"No "|"Fine sandy loam"|72052282|145700950
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052282|145700951
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052037|145700467
"SCL"|"No "|"No "|"Sandy clay loam"|72052039|145700469
"CL"|"No "|"No "|"Clay loam"|72052039|145700470
"L"|"No "|"Yes"|"Loam"|72052039|145700471
"SCL"|"No "|"No "|"Sandy clay loam"|72052041|145700475
"CL"|"No "|"No "|"Clay loam"|72052041|145700476
"C"|"No "|"Yes"|"Clay"|72052041|145700477
"SIC"|"No "|"No "|"Silty clay"|72052042|145700478
"C"|"No "|"Yes"|"Clay"|72052042|145700479
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052038|145700468
"CL"|"No "|"No "|"Clay loam"|72052040|145700472
"L"|"No "|"Yes"|"Loam"|72052040|145700473
"SCL"|"No "|"No "|"Sandy clay loam"|72052040|145700474
"C"|"No "|"Yes"|"Clay"|72052036|145700465
"SIC"|"No "|"No "|"Silty clay"|72052036|145700466
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052032|145700458
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052033|145700459
"SICL"|"No "|"No "|"Silty clay loam"|72052034|145700460
"CL"|"No "|"Yes"|"Clay loam"|72052034|145700461
"CL"|"No "|"Yes"|"Clay loam"|72052035|145700462
"C"|"No "|"No "|"Clay"|72052035|145700463
"SCL"|"No "|"No "|"Sandy clay loam"|72052035|145700464
"L"|"No "|"Yes"|"Loam"|72052027|145700445
"CL"|"No "|"No "|"Clay loam"|72052027|145700446
"SICL"|"No "|"No "|"Silty clay loam"|72052027|145700447
"SIL"|"No "|"No "|"Silt loam"|72052027|145700448
"SIC"|"No "|"No "|"Silty clay"|72052031|145700455
"CL"|"No "|"Yes"|"Clay loam"|72052031|145700456
"C"|"No "|"No "|"Clay"|72052031|145700457
"L"|"No "|"No "|"Loam"|72052030|145700451
"CL"|"No "|"No "|"Clay loam"|72052030|145700452
"SICL"|"No "|"Yes"|"Silty clay loam"|72052030|145700453
"SIL"|"No "|"No "|"Silt loam"|72052030|145700454
"SIL"|"No "|"Yes"|"Silt loam"|72052028|145700449
"SIL"|"No "|"Yes"|"Silt loam"|72052029|145700450
"L"|"No "|"No "|"Loam"|72052025|145700439
"SCL"|"No "|"No "|"Sandy clay loam"|72052025|145700440
"CL"|"No "|"Yes"|"Clay loam"|72052025|145700441
"C"|"No "|"Yes"|"Clay"|72052026|145700442
"SIC"|"No "|"No "|"Silty clay"|72052026|145700443
"CL"|"No "|"No "|"Clay loam"|72052026|145700444
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052024|145700438
"CL"|"No "|"Yes"|"Clay loam"|72052006|145700399
"C"|"No "|"No "|"Clay"|72052006|145700400
"CL"|"No "|"Yes"|"Clay loam"|72052004|145700395
"L"|"No "|"No "|"Loam"|72052004|145700396
"SICL"|"No "|"No "|"Silty clay loam"|72052004|145700397
"CL"|"No "|"Yes"|"Clay loam"|72051587|145699518
"C"|"No "|"No "|"Clay"|72051587|145699519
"L"|"No "|"Yes"|"Loam"|72051586|145699517
"L"|"No "|"No "|"Loam"|72051585|145699514
"CL"|"No "|"Yes"|"Clay loam"|72051585|145699515
"SICL"|"No "|"No "|"Silty clay loam"|72051585|145699516
"CL"|"No "|"Yes"|"Clay loam"|72051550|145699450
"C"|"No "|"Yes"|"Clay"|72051549|145699447
"CL"|"No "|"No "|"Clay loam"|72051549|145699448
"SC"|"No "|"No "|"Sandy clay"|72051549|145699449
"CL"|"No "|"Yes"|"Clay loam"|72051548|145699446
"CL"|"No "|"Yes"|"Clay loam"|72052023|145700437
"C"|"No "|"No "|"Clay"|72052022|145700434
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052022|145700435
"CL"|"No "|"No "|"Clay loam"|72052022|145700436
"CL"|"No "|"No "|"Clay loam"|72052021|145700431
"C"|"No "|"Yes"|"Clay"|72052021|145700432
"SC"|"No "|"No "|"Sandy clay"|72052021|145700433
"GR-FSL"|"No "|"Yes"|"Gravelly fine sandy loam"|72052020|145700430
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051544|145699438
"CL"|"No "|"No "|"Clay loam"|72051546|145699442
"C"|"No "|"No "|"Clay"|72051546|145699443
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051546|145699444
"SC"|"No "|"No "|"Sandy clay"|72051545|145699439
"C"|"No "|"Yes"|"Clay"|72051545|145699440
"CL"|"No "|"No "|"Clay loam"|72051545|145699441
"CL"|"No "|"Yes"|"Clay loam"|72051547|145699445
"C"|"No "|"Yes"|"Clay"|72051973|145700312
"SC"|"No "|"No "|"Sandy clay"|72051973|145700313
